booking_id,booking_date,check_in_date,channel_id,rate_code_id,rooms_sold,gross_room_revenue,status,is_commissionable,default_commission_rate,commission_cost,net_room_revenue,adr,net_adr,OCC,net_revpar,Day Name
BK_04671,1/1/2025,1/3/2025,CH_WHOLE,RACK,2,194.89,Confirmed,TRUE,0,0,194.89,97.445,97.445,2%,1.9489,Saturday
BK_03629,1/1/2025,18/1/2025,CH_DIRECT,PROMO,2,427.33,Checked-Out,TRUE,0,0,427.33,213.665,213.665,2%,4.2733,Saturday
BK_03995,1/1/2025,24/2/2025,CH_WHOLE,RACK,3,615.53,Confirmed,TRUE,0,0,615.53,205.1766667,205.1766667,3%,6.1553,Monday
BK_02304,1/1/2025,7/3/2025,CH_OTA_BKG,NET,1,464.65,Checked-Out,FALSE,0.18,0,464.65,464.65,464.65,1%,4.6465,Friday
BK_04927,1/1/2025,8/1/2025,CH_WHOLE,RACK,1,288.47,Checked-Out,TRUE,0,0,288.47,288.47,288.47,1%,2.8847,Wednesday
BK_01913,1/1/2025,27/3/2025,CH_OTA_EXP,PROMO,1,206.54,Confirmed,TRUE,0.15,30.981,175.559,206.54,175.559,1%,1.75559,Thursday
BK_03739,1/1/2025,10/1/2025,CH_WHOLE,PROMO,1,399.68,Confirmed,TRUE,0,0,399.68,399.68,399.68,1%,3.9968,Friday
BK_00616,1/1/2025,13/1/2025,CH_DIRECT,PROMO,3,1086.06,Cancelled,TRUE,0,0,1086.06,362.02,362.02,3%,10.8606,Monday
BK_01420,2/1/2025,11/2/2025,CH_OTA_BKG,PROMO,2,983.07,Cancelled,TRUE,0.18,176.9526,806.1174,491.535,403.0587,2%,8.061174,Tuesday
BK_02132,2/1/2025,11/3/2025,CH_OTA_BKG,RACK,2,483.19,Confirmed,TRUE,0.18,86.9742,396.2158,241.595,198.1079,2%,3.962158,Tuesday
BK_00248,2/1/2025,22/3/2025,CH_DIRECT,PROMO,3,764.88,Checked-Out,TRUE,0,0,764.88,254.96,254.96,3%,7.6488,Saturday
BK_04914,2/1/2025,15/2/2025,CH_OTA_EXP,NET,1,351.1,Cancelled,FALSE,0.15,0,351.1,351.1,351.1,1%,3.511,Saturday
BK_03058,2/1/2025,8/2/2025,CH_DIRECT,NET,3,1113.8,Confirmed,FALSE,0,0,1113.8,371.2666667,371.2666667,3%,11.138,Saturday
BK_02290,2/1/2025,27/3/2025,CH_OTA_BKG,NET,3,1439.7,Cancelled,FALSE,0.18,0,1439.7,479.9,479.9,3%,14.397,Thursday
BK_02623,2/1/2025,3/1/2025,CH_WHOLE,NET,2,212.59,Confirmed,FALSE,0,0,212.59,106.295,106.295,2%,2.1259,Friday
