booking_id,booking_date,check_in_date,channel_id,rate_code_id,rooms_sold,gross_room_revenue,status,is_commissionable,default_commission_rate,commission_amount,net_room_revenue
BK_00000,17/10/2026,1/11/2026,CH_OTA_BKG,CORP,1,173.75,Checked-Out,TRUE,0.18,31.275,142.475
BK_00001,15/4/2025,11/7/2025,CH_OTA_BKG,NET,1,92.51,Confirmed,FALSE,0.18,0,92.51
BK_00002,27/8/2025,31/10/2025,CH_OTA_BKG,PROMO,3,1058.85,Checked-Out,TRUE,0.18,190.593,868.257
BK_00003,6/3/2026,4/4/2026,CH_WHOLE,CORP,1,398.7,Confirmed,TRUE,0,0,398.7
BK_00004,16/12/2026,9/2/2027,CH_DIRECT,CORP,1,170.43,Cancelled,TRUE,0,0,170.43
BK_00005,15/4/2025,27/4/2025,CH_WHOLE,RACK,2,871.9,Checked-Out,TRUE,0,0,871.9
BK_00006,28/9/2025,4/10/2025,CH_WHOLE,RACK,2,226.19,Cancelled,TRUE,0,0,226.19
BK_00007,6/10/2026,25/12/2026,CH_DIRECT,PROMO,3,327.64,Checked-Out,TRUE,0,0,327.64
BK_00008,22/8/2025,29/9/2025,CH_OTA_BKG,PROMO,1,239.65,Cancelled,TRUE,0.18,43.137,196.513
BK_00009,13/10/2026,29/11/2026,CH_OTA_EXP,CORP,2,335.99,Cancelled,TRUE,0.15,50.3985,285.5915
BK_00010,20/12/2026,18/3/2027,CH_OTA_BKG,PROMO,3,1158.7,Confirmed,TRUE,0.18,208.566,950.134
BK_00011,19/4/2026,7/6/2026,CH_DIRECT,PROMO,3,648.6,Confirmed,TRUE,0,0,648.6
BK_00012,23/8/2025,28/8/2025,CH_DIRECT,NET,2,215.6,Checked-Out,FALSE,0,0,215.6
BK_00013,19/11/2025,17/12/2025,CH_WHOLE,NET,3,818.15,Cancelled,FALSE,0,0,818.15
BK_00014,23/5/2025,24/6/2025,CH_DIRECT,NET,3,743.24,Confirmed,FALSE,0,0,743.24
BK_00015,22/5/2025,27/7/2025,CH_WHOLE,RACK,1,441.66,Confirmed,TRUE,0,0,441.66
BK_00016,5/10/2026,26/10/2026,CH_WHOLE,RACK,2,480.56,Cancelled,TRUE,0,0,480.56
BK_00017,26/6/2026,29/7/2026,CH_OTA_BKG,RACK,3,1354.83,Cancelled,TRUE,0.18,243.8694,1110.9606
BK_00018,19/10/2026,2/12/2026,CH_OTA_BKG,CORP,2,292.85,Confirmed,TRUE,0.18,52.713,240.137
BK_00019,27/9/2025,1/12/2025,CH_OTA_EXP,RACK,3,616.04,Checked-Out,TRUE,0.15,92.406,523.634
BK_00020,4/6/2026,21/8/2026,CH_OTA_EXP,PROMO,2,800.51,Checked-Out,TRUE,0.15,120.0765,680.4335
BK_00021,28/6/2026,29/6/2026,CH_DIRECT,NET,1,126.98,Cancelled,FALSE,0,0,126.98
BK_00022,11/11/2025,12/12/2025,CH_OTA_BKG,PROMO,3,1433.16,Confirmed,TRUE,0.18,257.9688,1175.1912
BK_00023,13/5/2026,22/5/2026,CH_OTA_EXP,PROMO,3,838.86,Checked-Out,TRUE,0.15,125.829,713.031
BK_00024,19/6/2025,23/7/2025,CH_WHOLE,PROMO,3,1191.63,Checked-Out,TRUE,0,0,1191.63
BK_00025,25/7/2025,3/9/2025,CH_WHOLE,CORP,2,915.68,Cancelled,TRUE,0,0,915.68
BK_00026,4/5/2025,5/6/2025,CH_OTA_EXP,RACK,2,177.67,Checked-Out,TRUE,0.15,26.6505,151.0195
BK_00027,24/8/2025,8/11/2025,CH_OTA_EXP,RACK,1,377.29,Confirmed,TRUE,0.15,56.5935,320.6965
BK_00028,23/8/2025,1/9/2025,CH_OTA_BKG,CORP,1,295.95,Cancelled,TRUE,0.18,53.271,242.679
BK_00029,17/11/2026,19/1/2027,CH_OTA_EXP,PROMO,3,1418.75,Checked-Out,TRUE,0.15,212.8125,1205.9375
BK_00030,14/8/2026,14/10/2026,CH_OTA_EXP,NET,2,319.94,Confirmed,FALSE,0.15,0,319.94
BK_00031,6/11/2026,1/1/2027,CH_DIRECT,NET,2,552.3,Checked-Out,FALSE,0,0,552.3
BK_00032,25/2/2025,23/5/2025,CH_OTA_BKG,RACK,2,771.7,Confirmed,TRUE,0.18,138.906,632.794
BK_00033,12/9/2025,7/10/2025,CH_OTA_EXP,NET,1,257.19,Cancelled,FALSE,0.15,0,257.19
BK_00034,19/4/2026,21/5/2026,CH_OTA_BKG,NET,3,363.36,Checked-Out,FALSE,0.18,0,363.36
BK_00035,8/7/2026,10/7/2026,CH_OTA_BKG,PROMO,1,250.69,Cancelled,TRUE,0.18,45.1242,205.5658
BK_00036,7/8/2025,28/9/2025,CH_OTA_BKG,PROMO,2,161.81,Cancelled,TRUE,0.18,29.1258,132.6842
BK_00037,29/9/2025,27/11/2025,CH_DIRECT,NET,3,1446.22,Checked-Out,FALSE,0,0,1446.22
BK_00038,9/11/2026,11/1/2027,CH_OTA_EXP,PROMO,2,342.87,Confirmed,TRUE,0.15,51.4305,291.4395
BK_00039,17/8/2026,26/10/2026,CH_OTA_BKG,CORP,1,101.06,Cancelled,TRUE,0.18,18.1908,82.8692
