booking_id,booking_date,check_in_date,channel_id,rate_code_id,rooms_sold,gross_room_revenue,status
BK_00000,2026-10-17,2026-11-01,CH_OTA_BKG,CORP,1,173.75,Checked-Out
BK_00001,2025-04-15,2025-07-11,CH_OTA_BKG,NET,1,92.51,Confirmed
BK_00002,2025-08-27,2025-10-31,CH_OTA_BKG,PROMO,3,1058.85,Checked-Out
BK_00003,2026-03-06,2026-04-04,CH_WHOLE,CORP,1,398.7,Confirmed
BK_00004,2026-12-16,2027-02-09,CH_DIRECT,CORP,1,170.43,Cancelled
BK_00005,2025-04-15,2025-04-27,CH_WHOLE,RACK,2,871.9,Checked-Out
BK_00006,2025-09-28,2025-10-04,CH_WHOLE,RACK,2,226.19,Cancelled
BK_00007,2026-10-06,2026-12-25,CH_DIRECT,PROMO,3,327.64,Checked-Out
BK_00008,2025-08-22,2025-09-29,CH_OTA_BKG,PROMO,1,239.65,Cancelled
BK_00009,2026-10-13,2026-11-29,CH_OTA_EXP,CORP,2,335.99,Cancelled
BK_00010,2026-12-20,2027-03-18,CH_OTA_BKG,PROMO,3,1158.7,Confirmed
BK_00011,2026-04-19,2026-06-07,CH_DIRECT,PROMO,3,648.6,Confirmed
BK_00012,2025-08-23,2025-08-28,CH_DIRECT,NET,2,215.6,Checked-Out
BK_00013,2025-11-19,2025-12-17,CH_WHOLE,NET,3,818.15,Cancelled
BK_00014,2025-05-23,2025-06-24,CH_DIRECT,NET,3,743.24,Confirmed
BK_00015,2025-05-22,2025-07-27,CH_WHOLE,RACK,1,441.66,Confirmed
BK_00016,2026-10-05,2026-10-26,CH_WHOLE,RACK,2,480.56,Cancelled
BK_00017,2026-06-26,2026-07-29,CH_OTA_BKG,RACK,3,1354.83,Cancelled
BK_00018,2026-10-19,2026-12-02,CH_OTA_BKG,CORP,2,292.85,Confirmed
BK_00019,2025-09-27,2025-12-01,CH_OTA_EXP,RACK,3,616.04,Checked-Out
BK_00020,2026-06-04,2026-08-21,CH_OTA_EXP,PROMO,2,800.51,Checked-Out
BK_00021,2026-06-28,2026-06-29,CH_DIRECT,NET,1,126.98,Cancelled
BK_00022,2025-11-11,2025-12-12,CH_OTA_BKG,PROMO,3,1433.16,Confirmed
BK_00023,2026-05-13,2026-05-22,CH_OTA_EXP,PROMO,3,838.86,Checked-Out
BK_00024,2025-06-19,2025-07-23,CH_WHOLE,PROMO,3,1191.63,Checked-Out
BK_00025,2025-07-25,2025-09-03,CH_WHOLE,CORP,2,915.68,Cancelled
BK_00026,2025-05-04,2025-06-05,CH_OTA_EXP,RACK,2,177.67,Checked-Out
BK_00027,2025-08-24,2025-11-08,CH_OTA_EXP,RACK,1,377.29,Confirmed
BK_00028,2025-08-23,2025-09-01,CH_OTA_BKG,CORP,1,295.95,Cancelled
BK_00029,2026-11-17,2027-01-19,CH_OTA_EXP,PROMO,3,1418.75,Checked-Out
BK_00030,2026-08-14,2026-10-14,CH_OTA_EXP,NET,2,319.94,Confirmed
BK_00031,2026-11-06,2027-01-01,CH_DIRECT,NET,2,552.3,Checked-Out
BK_00032,2025-02-25,2025-05-23,CH_OTA_BKG,RACK,2,771.7,Confirmed
BK_00033,2025-09-12,2025-10-07,CH_OTA_EXP,NET,1,257.19,Cancelled
BK_00034,2026-04-19,2026-05-21,CH_OTA_BKG,NET,3,363.36,Checked-Out
BK_00035,2026-07-08,2026-07-10,CH_OTA_BKG,PROMO,1,250.69,Cancelled
BK_00036,2025-08-07,2025-09-28,CH_OTA_BKG,PROMO,2,161.81,Cancelled
BK_00037,2025-09-29,2025-11-27,CH_DIRECT,NET,3,1446.22,Checked-Out
BK_00038,2026-11-09,2027-01-11,CH_OTA_EXP,PROMO,2,342.87,Confirmed
BK_00039,2026-08-17,2026-10-26,CH_OTA_BKG,CORP,1,101.06,Cancelled
BK_00040,2026-05-30,2026-08-06,CH_OTA_EXP,RACK,3,340.94,Confirmed
BK_00041,2025-03-12,2025-05-28,CH_OTA_BKG,PROMO,2,260.7,Checked-Out
BK_00042,2025-09-10,2025-11-24,CH_OTA_BKG,RACK,2,712.19,Checked-Out
BK_00043,2026-06-20,2026-07-31,CH_DIRECT,PROMO,3,1142.4,Confirmed
BK_00044,2025-09-29,2025-11-19,CH_OTA_EXP,CORP,2,425.59,Confirmed
BK_00045,2025-01-10,2025-03-10,CH_OTA_BKG,RACK,3,508.57,Cancelled
BK_00046,2025-05-16,2025-06-30,CH_OTA_BKG,PROMO,2,399.39,Cancelled
BK_00047,2026-07-11,2026-08-19,CH_OTA_BKG,CORP,3,370.52,Confirmed
BK_00048,2025-09-28,2025-10-13,CH_OTA_BKG,PROMO,2,396.68,Confirmed
BK_00049,2025-12-18,2026-01-14,CH_DIRECT,NET,2,920.48,Confirmed
BK_00050,2025-04-05,2025-06-26,CH_WHOLE,CORP,1,81.49,Confirmed
BK_00051,2026-10-15,2026-11-18,CH_OTA_EXP,NET,3,1129.14,Checked-Out
BK_00052,2025-01-10,2025-01-25,CH_OTA_BKG,PROMO,3,285.4,Cancelled
BK_00053,2026-08-20,2026-10-30,CH_OTA_EXP,NET,1,97.57,Cancelled
BK_00054,2025-02-10,2025-03-28,CH_OTA_EXP,PROMO,3,369.52,Checked-Out
BK_00055,2026-02-21,2026-05-12,CH_OTA_EXP,PROMO,1,490.01,Confirmed
BK_00056,2026-02-27,2026-03-03,CH_OTA_EXP,CORP,2,833.88,Checked-Out
BK_00057,2025-09-12,2025-10-17,CH_OTA_EXP,RACK,2,892.62,Cancelled
BK_00058,2025-08-16,2025-09-11,CH_WHOLE,CORP,2,849.25,Confirmed
BK_00059,2025-08-17,2025-08-21,CH_OTA_EXP,NET,2,394.03,Confirmed
BK_00060,2025-10-13,2025-11-27,CH_WHOLE,CORP,1,128.44,Cancelled
BK_00061,2025-07-02,2025-09-15,CH_DIRECT,RACK,1,330.56,Cancelled
BK_00062,2025-11-18,2026-01-13,CH_OTA_BKG,NET,3,479.5,Confirmed
BK_00063,2026-12-27,2027-02-21,CH_OTA_BKG,PROMO,2,522.29,Checked-Out
BK_00064,2025-12-05,2026-02-23,CH_DIRECT,RACK,3,1374.06,Checked-Out
BK_00065,2025-11-13,2026-02-07,CH_WHOLE,CORP,2,745.66,Checked-Out
BK_00066,2025-05-11,2025-06-05,CH_WHOLE,NET,3,1182.65,Confirmed
BK_00067,2026-09-23,2026-12-05,CH_DIRECT,NET,3,1290.49,Cancelled
BK_00068,2025-10-21,2025-11-17,CH_WHOLE,CORP,2,531.1,Checked-Out
BK_00069,2025-08-07,2025-10-12,CH_WHOLE,PROMO,3,346.84,Checked-Out
BK_00070,2026-11-11,2027-02-01,CH_DIRECT,RACK,1,362.57,Confirmed
BK_00071,2025-07-23,2025-08-11,CH_OTA_BKG,RACK,1,493.25,Checked-Out
BK_00072,2025-03-16,2025-05-14,CH_WHOLE,PROMO,3,1117.41,Cancelled
BK_00073,2026-02-14,2026-03-18,CH_OTA_EXP,RACK,1,406.94,Confirmed
BK_00074,2025-06-30,2025-09-28,CH_WHOLE,RACK,3,553.99,Confirmed
BK_00075,2026-04-13,2026-05-01,CH_WHOLE,CORP,2,674.63,Checked-Out
BK_00076,2026-06-01,2026-07-26,CH_WHOLE,PROMO,3,1325.48,Cancelled
BK_00077,2025-09-23,2025-10-25,CH_DIRECT,NET,3,541.45,Cancelled
BK_00078,2025-03-21,2025-04-27,CH_OTA_EXP,CORP,2,428.56,Checked-Out
BK_00079,2025-03-24,2025-04-11,CH_OTA_EXP,PROMO,2,742.92,Checked-Out
