booking_id,booking_date,check_in_date,channel_id,rate_code_id,rooms_sold,gross_room_revenue,status,is_commissionable,default_commission_rate,commission_cost,net_room_revenue,adr,net_adr,OCC,net_revpar,Day Name,true_gross_room_revenue,true_commission_cost,true_net_room_revenue
BK_00000,17/10/2026,1/11/2026,CH_OTA_BKG,CORP,1,173.75,Checked-Out,TRUE,0.18,31.275,142.475,173.75,142.475,0.01,1.42475,Sunday,173.75,31.275,142.475
BK_00001,15/4/2025,11/7/2025,CH_OTA_BKG,NET,1,92.51,Confirmed,FALSE,0.18,0,92.51,92.51,92.51,0.01,0.9251,Friday,112.8170732,20.30707317,92.51
BK_00002,27/8/2025,31/10/2025,CH_OTA_BKG,PROMO,3,1058.85,Checked-Out,TRUE,0.18,190.593,868.257,352.95,289.419,0.03,8.68257,Friday,1058.85,190.593,868.257
BK_00003,6/3/2026,4/4/2026,CH_WHOLE,CORP,1,398.7,Confirmed,TRUE,0,0,398.7,398.7,398.7,0.01,3.987,Saturday,398.7,0,398.7
BK_00005,15/4/2025,27/4/2025,CH_WHOLE,RACK,2,871.9,Checked-Out,TRUE,0,0,871.9,435.95,435.95,0.02,8.719,Sunday,871.9,0,871.9
BK_00007,6/10/2026,25/12/2026,CH_DIRECT,PROMO,3,327.64,Checked-Out,TRUE,0,0,327.64,109.2133333,109.2133333,0.03,3.2764,Friday,327.64,0,327.64
BK_00010,20/12/2026,18/3/2027,CH_OTA_BKG,PROMO,3,1158.7,Confirmed,TRUE,0.18,208.566,950.134,386.2333333,316.7113333,0.03,9.50134,Thursday,1158.7,208.566,950.134
BK_00011,19/4/2026,7/6/2026,CH_DIRECT,PROMO,3,648.6,Confirmed,TRUE,0,0,648.6,216.2,216.2,0.03,6.486,Sunday,648.6,0,648.6
BK_00012,23/8/2025,28/8/2025,CH_DIRECT,NET,2,215.6,Checked-Out,FALSE,0,0,215.6,107.8,107.8,0.02,2.156,Thursday,215.6,0,215.6
BK_00014,23/5/2025,24/6/2025,CH_DIRECT,NET,3,743.24,Confirmed,FALSE,0,0,743.24,247.7466667,247.7466667,0.03,7.4324,Tuesday,743.24,0,743.24
BK_00015,22/5/2025,27/7/2025,CH_WHOLE,RACK,1,441.66,Confirmed,TRUE,0,0,441.66,441.66,441.66,0.01,4.4166,Sunday,441.66,0,441.66
BK_00018,19/10/2026,2/12/2026,CH_OTA_BKG,CORP,2,292.85,Confirmed,TRUE,0.18,52.713,240.137,146.425,120.0685,0.02,2.40137,Wednesday,292.85,52.713,240.137
BK_00019,27/9/2025,1/12/2025,CH_OTA_EXP,RACK,3,616.04,Checked-Out,TRUE,0.15,92.406,523.634,205.3466667,174.5446667,0.03,5.23634,Monday,616.04,92.406,523.634
BK_00020,4/6/2026,21/8/2026,CH_OTA_EXP,PROMO,2,800.51,Checked-Out,TRUE,0.15,120.0765,680.4335,400.255,340.21675,0.02,6.804335,Friday,800.51,120.0765,680.4335
BK_00022,11/11/2025,12/12/2025,CH_OTA_BKG,PROMO,3,1433.16,Confirmed,TRUE,0.18,257.9688,1175.1912,477.72,391.7304,0.03,11.751912,Friday,1433.16,257.9688,1175.1912
BK_00023,13/5/2026,22/5/2026,CH_OTA_EXP,PROMO,3,838.86,Checked-Out,TRUE,0.15,125.829,713.031,279.62,237.677,0.03,7.13031,Friday,838.86,125.829,713.031
BK_00024,19/6/2025,23/7/2025,CH_WHOLE,PROMO,3,1191.63,Checked-Out,TRUE,0,0,1191.63,397.21,397.21,0.03,11.9163,Wednesday,1191.63,0,1191.63
BK_00026,4/5/2025,5/6/2025,CH_OTA_EXP,RACK,2,177.67,Checked-Out,TRUE,0.15,26.6505,151.0195,88.835,75.50975,0.02,1.510195,Thursday,177.67,26.6505,151.0195
BK_00027,24/8/2025,8/11/2025,CH_OTA_EXP,RACK,1,377.29,Confirmed,TRUE,0.15,56.5935,320.6965,377.29,320.6965,0.01,3.206965,Saturday,377.29,56.5935,320.6965
BK_00029,17/11/2026,19/1/2027,CH_OTA_EXP,PROMO,3,1418.75,Checked-Out,TRUE,0.15,212.8125,1205.9375,472.9166667,401.9791667,0.03,12.059375,Tuesday,1418.75,212.8125,1205.9375
BK_00030,14/8/2026,14/10/2026,CH_OTA_EXP,NET,2,319.94,Confirmed,FALSE,0.15,0,319.94,159.97,159.97,0.02,3.1994,Wednesday,376.4,56.46,319.94
BK_00031,6/11/2026,1/1/2027,CH_DIRECT,NET,2,552.3,Checked-Out,FALSE,0,0,552.3,276.15,276.15,0.02,5.523,Friday,552.3,0,552.3
BK_00032,25/2/2025,23/5/2025,CH_OTA_BKG,RACK,2,771.7,Confirmed,TRUE,0.18,138.906,632.794,385.85,316.397,0.02,6.32794,Friday,771.7,138.906,632.794
BK_00034,19/4/2026,21/5/2026,CH_OTA_BKG,NET,3,363.36,Checked-Out,FALSE,0.18,0,363.36,121.12,121.12,0.03,3.6336,Thursday,443.1219512,79.76195122,363.36
BK_00037,29/9/2025,27/11/2025,CH_DIRECT,NET,3,1446.22,Checked-Out,FALSE,0,0,1446.22,482.0733333,482.0733333,0.03,14.4622,Thursday,1446.22,0,1446.22
BK_00038,9/11/2026,11/1/2027,CH_OTA_EXP,PROMO,2,342.87,Confirmed,TRUE,0.15,51.4305,291.4395,171.435,145.71975,0.02,2.914395,Monday,342.87,51.4305,291.4395
BK_00040,30/5/2026,6/8/2026,CH_OTA_EXP,RACK,3,340.94,Confirmed,TRUE,0.15,51.141,289.799,113.6466667,96.59966667,0.03,2.89799,Thursday,340.94,51.141,289.799
BK_00041,12/3/2025,28/5/2025,CH_OTA_BKG,PROMO,2,260.7,Checked-Out,TRUE,0.18,46.926,213.774,130.35,106.887,0.02,2.13774,Wednesday,260.7,46.926,213.774
BK_00042,10/9/2025,24/11/2025,CH_OTA_BKG,RACK,2,712.19,Checked-Out,TRUE,0.18,128.1942,583.9958,356.095,291.9979,0.02,5.839958,Monday,712.19,128.1942,583.9958
BK_00043,20/6/2026,31/7/2026,CH_DIRECT,PROMO,3,1142.4,Confirmed,TRUE,0,0,1142.4,380.8,380.8,0.03,11.424,Friday,1142.4,0,1142.4
BK_00044,29/9/2025,19/11/2025,CH_OTA_EXP,CORP,2,425.59,Confirmed,TRUE,0.15,63.8385,361.7515,212.795,180.87575,0.02,3.617515,Wednesday,425.59,63.8385,361.7515
BK_00047,11/7/2026,19/8/2026,CH_OTA_BKG,CORP,3,370.52,Confirmed,TRUE,0.18,66.6936,303.8264,123.5066667,101.2754667,0.03,3.038264,Wednesday,370.52,66.6936,303.8264
BK_00048,28/9/2025,13/10/2025,CH_OTA_BKG,PROMO,2,396.68,Confirmed,TRUE,0.18,71.4024,325.2776,198.34,162.6388,0.02,3.252776,Monday,396.68,71.4024,325.2776
BK_00049,18/12/2025,14/1/2026,CH_DIRECT,NET,2,920.48,Confirmed,FALSE,0,0,920.48,460.24,460.24,0.02,9.2048,Wednesday,920.48,0,920.48
BK_00050,5/4/2025,26/6/2025,CH_WHOLE,CORP,1,81.49,Confirmed,TRUE,0,0,81.49,81.49,81.49,0.01,0.8149,Thursday,81.49,0,81.49
BK_00051,15/10/2026,18/11/2026,CH_OTA_EXP,NET,3,1129.14,Checked-Out,FALSE,0.15,0,1129.14,376.38,376.38,0.03,11.2914,Wednesday,1328.4,199.26,1129.14
BK_00054,10/2/2025,28/3/2025,CH_OTA_EXP,PROMO,3,369.52,Checked-Out,TRUE,0.15,55.428,314.092,123.1733333,104.6973333,0.03,3.14092,Friday,369.52,55.428,314.092
BK_00055,21/2/2026,12/5/2026,CH_OTA_EXP,PROMO,1,490.01,Confirmed,TRUE,0.15,73.5015,416.5085,490.01,416.5085,0.01,4.165085,Tuesday,490.01,73.5015,416.5085
BK_00056,27/2/2026,3/3/2026,CH_OTA_EXP,CORP,2,833.88,Checked-Out,TRUE,0.15,125.082,708.798,416.94,354.399,0.02,7.08798,Tuesday,833.88,125.082,708.798
BK_00058,16/8/2025,11/9/2025,CH_WHOLE,CORP,2,849.25,Confirmed,TRUE,0,0,849.25,424.625,424.625,0.02,8.4925,Thursday,849.25,0,849.25
BK_00059,17/8/2025,21/8/2025,CH_OTA_EXP,NET,2,394.03,Confirmed,FALSE,0.15,0,394.03,197.015,197.015,0.02,3.9403,Thursday,463.5647059,69.53470588,394.03
BK_00062,18/11/2025,13/1/2026,CH_OTA_BKG,NET,3,479.5,Confirmed,FALSE,0.18,0,479.5,159.8333333,159.8333333,0.03,4.795,Tuesday,584.7560976,105.2560976,479.5
BK_00063,27/12/2026,21/2/2027,CH_OTA_BKG,PROMO,2,522.29,Checked-Out,TRUE,0.18,94.0122,428.2778,261.145,214.1389,0.02,4.282778,Sunday,522.29,94.0122,428.2778
BK_00064,5/12/2025,23/2/2026,CH_DIRECT,RACK,3,1374.06,Checked-Out,TRUE,0,0,1374.06,458.02,458.02,0.03,13.7406,Monday,1374.06,0,1374.06
BK_00065,13/11/2025,7/2/2026,CH_WHOLE,CORP,2,745.66,Checked-Out,TRUE,0,0,745.66,372.83,372.83,0.02,7.4566,Saturday,745.66,0,745.66
BK_00066,11/5/2025,5/6/2025,CH_WHOLE,NET,3,1182.65,Confirmed,FALSE,0,0,1182.65,394.2166667,394.2166667,0.03,11.8265,Thursday,1182.65,0,1182.65
BK_00068,21/10/2025,17/11/2025,CH_WHOLE,CORP,2,531.1,Checked-Out,TRUE,0,0,531.1,265.55,265.55,0.02,5.311,Monday,531.1,0,531.1
BK_00069,7/8/2025,12/10/2025,CH_WHOLE,PROMO,3,346.84,Checked-Out,TRUE,0,0,346.84,115.6133333,115.6133333,0.03,3.4684,Sunday,346.84,0,346.84
BK_00070,11/11/2026,1/2/2027,CH_DIRECT,RACK,1,362.57,Confirmed,TRUE,0,0,362.57,362.57,362.57,0.01,3.6257,Monday,362.57,0,362.57
BK_00071,23/7/2025,11/8/2025,CH_OTA_BKG,RACK,1,493.25,Checked-Out,TRUE,0.18,88.785,404.465,493.25,404.465,0.01,4.04465,Monday,493.25,88.785,404.465
BK_00073,14/2/2026,18/3/2026,CH_OTA_EXP,RACK,1,406.94,Confirmed,TRUE,0.15,61.041,345.899,406.94,345.899,0.01,3.45899,Wednesday,406.94,61.041,345.899
BK_00074,30/6/2025,28/9/2025,CH_WHOLE,RACK,3,553.99,Confirmed,TRUE,0,0,553.99,184.6633333,184.6633333,0.03,5.5399,Sunday,553.99,0,553.99
BK_00075,13/4/2026,1/5/2026,CH_WHOLE,CORP,2,674.63,Checked-Out,TRUE,0,0,674.63,337.315,337.315,0.02,6.7463,Friday,674.63,0,674.63
BK_00078,21/3/2025,27/4/2025,CH_OTA_EXP,CORP,2,428.56,Checked-Out,TRUE,0.15,64.284,364.276,214.28,182.138,0.02,3.64276,Sunday,428.56,64.284,364.276
BK_00079,24/3/2025,11/4/2025,CH_OTA_EXP,PROMO,2,742.92,Checked-Out,TRUE,0.15,111.438,631.482,371.46,315.741,0.02,6.31482,Friday,742.92,111.438,631.482
BK_00081,5/3/2025,1/4/2025,CH_WHOLE,NET,3,1432.04,Confirmed,FALSE,0,0,1432.04,477.3466667,477.3466667,0.03,14.3204,Tuesday,1432.04,0,1432.04
BK_00085,11/5/2025,30/7/2025,CH_OTA_BKG,NET,3,951.13,Confirmed,FALSE,0.18,0,951.13,317.0433333,317.0433333,0.03,9.5113,Wednesday,1159.914634,208.7846341,951.13
