booking_id,booking_date,check_in_date,channel_id,rate_code_id,rooms_sold,gross_room_revenue,status,is_commissionable,default_commission_rate,commission_cost,net_room_revenue,OCC,Day Name,true_gross_room_revenue,true_commission_cost,true_net_room_revenue,ADR,net_ADR,net_RevPAR
BK_00000,17/10/2026,1/11/2026,CH_OTA_BKG,CORP,1,173.75,Checked-Out,TRUE,0.18,31.275,142.475,0.01,Sunday,173.75,31.275,142.475,173.75,142.475,1.42475
BK_00001,15/4/2025,11/7/2025,CH_OTA_BKG,NET,1,92.51,Confirmed,FALSE,0.18,0,92.51,0.01,Friday,112.8170732,20.30707317,92.51,112.8170732,92.51,0.9251
BK_00002,27/8/2025,31/10/2025,CH_OTA_BKG,PROMO,3,1058.85,Checked-Out,TRUE,0.18,190.593,868.257,0.03,Friday,1058.85,190.593,868.257,352.95,289.419,8.68257
BK_00003,6/3/2026,4/4/2026,CH_WHOLE,CORP,1,398.7,Confirmed,TRUE,0,0,398.7,0.01,Saturday,398.7,0,398.7,398.7,398.7,3.987
BK_00005,15/4/2025,27/4/2025,CH_WHOLE,RACK,2,871.9,Checked-Out,TRUE,0,0,871.9,0.02,Sunday,871.9,0,871.9,435.95,435.95,8.719
BK_00007,6/10/2026,25/12/2026,CH_DIRECT,PROMO,3,327.64,Checked-Out,TRUE,0,0,327.64,0.03,Friday,327.64,0,327.64,109.2133333,109.2133333,3.2764
BK_00010,20/12/2026,18/3/2027,CH_OTA_BKG,PROMO,3,1158.7,Confirmed,TRUE,0.18,208.566,950.134,0.03,Thursday,1158.7,208.566,950.134,386.2333333,316.7113333,9.50134
BK_00011,19/4/2026,7/6/2026,CH_DIRECT,PROMO,3,648.6,Confirmed,TRUE,0,0,648.6,0.03,Sunday,648.6,0,648.6,216.2,216.2,6.486
BK_00012,23/8/2025,28/8/2025,CH_DIRECT,NET,2,215.6,Checked-Out,FALSE,0,0,215.6,0.02,Thursday,215.6,0,215.6,107.8,107.8,2.156
BK_00014,23/5/2025,24/6/2025,CH_DIRECT,NET,3,743.24,Confirmed,FALSE,0,0,743.24,0.03,Tuesday,743.24,0,743.24,247.7466667,247.7466667,7.4324
BK_00015,22/5/2025,27/7/2025,CH_WHOLE,RACK,1,441.66,Confirmed,TRUE,0,0,441.66,0.01,Sunday,441.66,0,441.66,441.66,441.66,4.4166
BK_00018,19/10/2026,2/12/2026,CH_OTA_BKG,CORP,2,292.85,Confirmed,TRUE,0.18,52.713,240.137,0.02,Wednesday,292.85,52.713,240.137,146.425,120.0685,2.40137
BK_00019,27/9/2025,1/12/2025,CH_OTA_EXP,RACK,3,616.04,Checked-Out,TRUE,0.15,92.406,523.634,0.03,Monday,616.04,92.406,523.634,205.3466667,174.5446667,5.23634
BK_00020,4/6/2026,21/8/2026,CH_OTA_EXP,PROMO,2,800.51,Checked-Out,TRUE,0.15,120.0765,680.4335,0.02,Friday,800.51,120.0765,680.4335,400.255,340.21675,6.804335
BK_00022,11/11/2025,12/12/2025,CH_OTA_BKG,PROMO,3,1433.16,Confirmed,TRUE,0.18,257.9688,1175.1912,0.03,Friday,1433.16,257.9688,1175.1912,477.72,391.7304,11.751912
BK_00023,13/5/2026,22/5/2026,CH_OTA_EXP,PROMO,3,838.86,Checked-Out,TRUE,0.15,125.829,713.031,0.03,Friday,838.86,125.829,713.031,279.62,237.677,7.13031
BK_00024,19/6/2025,23/7/2025,CH_WHOLE,PROMO,3,1191.63,Checked-Out,TRUE,0,0,1191.63,0.03,Wednesday,1191.63,0,1191.63,397.21,397.21,11.9163
BK_00026,4/5/2025,5/6/2025,CH_OTA_EXP,RACK,2,177.67,Checked-Out,TRUE,0.15,26.6505,151.0195,0.02,Thursday,177.67,26.6505,151.0195,88.835,75.50975,1.510195
BK_00027,24/8/2025,8/11/2025,CH_OTA_EXP,RACK,1,377.29,Confirmed,TRUE,0.15,56.5935,320.6965,0.01,Saturday,377.29,56.5935,320.6965,377.29,320.6965,3.206965
BK_00029,17/11/2026,19/1/2027,CH_OTA_EXP,PROMO,3,1418.75,Checked-Out,TRUE,0.15,212.8125,1205.9375,0.03,Tuesday,1418.75,212.8125,1205.9375,472.9166667,401.9791667,12.059375
BK_00030,14/8/2026,14/10/2026,CH_OTA_EXP,NET,2,319.94,Confirmed,FALSE,0.15,0,319.94,0.02,Wednesday,376.4,56.46,319.94,188.2,159.97,3.1994
BK_00031,6/11/2026,1/1/2027,CH_DIRECT,NET,2,552.3,Checked-Out,FALSE,0,0,552.3,0.02,Friday,552.3,0,552.3,276.15,276.15,5.523
BK_00032,25/2/2025,23/5/2025,CH_OTA_BKG,RACK,2,771.7,Confirmed,TRUE,0.18,138.906,632.794,0.02,Friday,771.7,138.906,632.794,385.85,316.397,6.32794
BK_00034,19/4/2026,21/5/2026,CH_OTA_BKG,NET,3,363.36,Checked-Out,FALSE,0.18,0,363.36,0.03,Thursday,443.1219512,79.76195122,363.36,147.7073171,121.12,3.6336
BK_00037,29/9/2025,27/11/2025,CH_DIRECT,NET,3,1446.22,Checked-Out,FALSE,0,0,1446.22,0.03,Thursday,1446.22,0,1446.22,482.0733333,482.0733333,14.4622
BK_00038,9/11/2026,11/1/2027,CH_OTA_EXP,PROMO,2,342.87,Confirmed,TRUE,0.15,51.4305,291.4395,0.02,Monday,342.87,51.4305,291.4395,171.435,145.71975,2.914395
